1,0.500,0.500,0.000,0.000,0.000,-0.007,-1
1188,0.496,0.500,0.000,0.075,1.998,-0.008,7.0
1189,0.496,0.500,0.000,0.075,1.998,-0.008,7.0
1190,0.496,0.500,0.000,0.075,1.998,-0.008,7.0
1191,0.496,0.500,0.000,0.075,1.998,-0.008,7.0
1192,0.496,0.500,0.000,0.075,1.998,-0.008,7.0
1193,0.496,0.500,0.000,0.075,1.998,-0.008,7.0
1194,0.496,0.500,0.000,0.074,1.998,-0.008,7.0
1195,0.496,0.500,0.000,0.074,1.998,-0.008,7.0
1196,0.496,0.500,0.000,0.074,1.998,-0.008,7.0
1197,0.496,0.500,0.000,0.074,1.998,-0.008,7.0
1198,0.496,0.500,0.000,0.074,1.998,-0.008,7.0
1199,0.496,0.500,0.000,0.074,1.998,-0.008,7.0
1200,0.496,0.500,0.000,0.074,1.998,-0.008,7.0
1201,0.496,0.500,0.000,0.074,1.998,-0.008,7.0
1202,0.496,0.500,0.000,0.074,1.998,-0.008,7.0
1203,0.496,0.500,0.000,0.074,1.998,-0.008,7.0
1204,0.496,0.500,0.000,0.074,1.998,-0.008,7.0
1205,0.496,0.500,0.000,0.074,1.998,-0.008,7.0
1206,0.496,0.500,0.000,0.074,1.998,-0.008,7.0
1207,0.496,0.500,0.000,0.074,1.998,-0.008,7.0
1208,0.496,0.500,0.000,0.073,1.998,-0.008,7.0
1209,0.496,0.500,0.000,0.073,1.998,-0.008,7.0
1210,0.496,0.500,0.000,0.073,1.998,-0.008,7.0
1211,0.496,0.500,0.000,0.073,1.998,-0.008,7.0
1212,0.496,0.500,0.000,0.073,1.998,-0.008,7.0
1213,0.496,0.500,0.000,0.073,1.998,-0.008,7.0
1214,0.496,0.500,0.000,0.073,1.998,-0.008,7.0
1215,0.496,0.500,0.000,0.073,1.998,-0.008,7.0
1216,0.496,0.500,0.000,0.073,1.998,-0.008,7.0
1217,0.496,0.500,0.000,0.073,1.998,-0.008,7.0
1218,0.496,0.500,0.000,0.073,1.998,-0.008,7.0
1219,0.496,0.500,0.000,0.073,1.998,-0.008,7.0
1220,0.496,0.500,0.000,0.073,1.998,-0.008,7.0
1221,0.496,0.500,0.000,0.073,1.998,-0.008,7.0
1222,0.496,0.500,0.000,0.072,1.998,-0.008,7.0
1223,0.496,0.500,0.000,0.072,1.998,-0.008,7.0
1224,0.496,0.500,0.000,0.072,1.998,-0.008,7.0
1225,0.496,0.500,0.000,0.072,1.998,-0.008,7.0
1226,0.496,0.500,0.000,0.072,1.998,-0.008,7.0
1227,0.496,0.500,0.000,0.072,1.998,-0.008,7.0
1228,0.496,0.500,0.000,0.072,1.998,-0.008,7.0
1229,0.496,0.500,0.000,0.072,1.998,-0.008,7.0
1230,0.496,0.500,0.000,0.072,1.998,-0.008,7.0
1231,0.496,0.500,0.000,0.072,1.998,-0.008,7.0
1232,0.496,0.500,0.000,0.072,1.998,-0.008,7.0
1233,0.496,0.500,0.000,0.072,1.998,-0.008,7.0
1234,0.496,0.500,0.000,0.072,1.998,-0.008,7.0
1235,0.496,0.500,0.000,0.072,1.998,-0.008,7.0
1236,0.496,0.500,0.000,0.072,1.998,-0.008,7.0
1237,0.496,0.500,0.000,0.071,1.998,-0.008,7.0
1238,0.496,0.500,0.000,0.071,1.998,-0.008,7.0
1239,0.496,0.500,0.000,0.071,1.998,-0.008,7.0
1240,0.496,0.500,0.000,0.071,1.998,-0.008,7.0
1241,0.496,0.500,0.000,0.071,1.998,-0.008,7.0
1242,0.496,0.500,0.000,0.071,1.998,-0.008,7.0
1243,0.496,0.500,0.000,0.071,1.998,-0.008,7.0
1244,0.496,0.500,0.000,0.071,1.998,-0.008,7.0
1245,0.496,0.500,0.000,0.071,1.998,-0.008,7.0
1246,0.496,0.500,0.000,0.071,1.998,-0.008,7.0
1247,0.496,0.500,0.000,0.071,1.998,-0.008,7.0
1248,0.496,0.500,0.000,0.071,1.998,-0.008,7.0
1249,0.496,0.500,0.000,0.071,1.998,-0.008,7.0
1250,0.496,0.500,0.000,0.071,1.998,-0.008,7.0
1251,0.496,0.500,0.000,0.070,1.998,-0.008,7.0
1252,0.496,0.500,0.000,0.070,1.998,-0.008,7.0
1253,0.496,0.500,0.000,0.070,1.998,-0.008,7.0
1254,0.496,0.500,0.000,0.070,1.998,-0.008,7.0
1255,0.496,0.500,0.000,0.070,1.998,-0.008,7.0
1256,0.496,0.500,0.000,0.070,1.998,-0.008,7.0
1257,0.496,0.500,0.000,0.070,1.998,-0.008,7.0
1258,0.496,0.500,0.000,0.070,1.998,-0.008,7.0
1259,0.496,0.500,0.000,0.070,1.998,-0.008,7.0
1260,0.496,0.500,0.000,0.070,1.998,-0.008,7.0
1261,0.496,0.500,0.000,0.070,1.998,-0.008,7.0
1262,0.496,0.500,0.000,0.070,1.998,-0.008,7.0
1263,0.496,0.500,0.000,0.070,1.998,-0.008,7.0
1264,0.496,0.500,0.000,0.070,1.998,-0.008,7.0
1265,0.496,0.500,0.000,0.069,1.998,-0.008,7.0
1266,0.496,0.500,0.000,0.069,1.998,-0.008,7.0
1267,0.496,0.500,0.000,0.069,1.998,-0.008,7.0
1268,0.496,0.500,0.000,0.069,1.998,-0.008,7.0
1269,0.496,0.500,0.000,0.069,1.998,-0.008,7.0
1270,0.496,0.500,0.000,0.069,1.998,-0.008,7.0
1271,0.496,0.500,0.000,0.069,1.998,-0.008,7.0
1272,0.496,0.500,0.000,0.069,1.998,-0.008,7.0
1273,0.496,0.500,0.000,0.069,1.998,-0.008,7.0
1274,0.496,0.500,0.000,0.069,1.998,-0.008,7.0
1275,0.496,0.500,0.000,0.069,1.998,-0.008,7.0
1276,0.496,0.500,0.000,0.069,1.998,-0.008,7.0
1277,0.496,0.500,0.000,0.069,1.998,-0.008,7.0
1278,0.496,0.500,0.000,0.069,1.998,-0.008,7.0
1279,0.496,0.500,0.000,0.068,1.998,-0.008,7.0
1280,0.496,0.500,0.000,0.068,1.998,-0.008,7.0
1281,0.496,0.500,0.000,0.068,1.998,-0.008,7.0
1282,0.496,0.500,0.000,0.068,1.998,-0.008,7.0
1283,0.496,0.500,0.000,0.068,1.998,-0.008,7.0
1284,0.496,0.500,0.000,0.068,1.998,-0.008,7.0
1285,0.496,0.500,0.000,0.068,1.998,-0.008,7.0
1286,0.496,0.500,0.000,0.068,1.998,-0.008,7.0
1287,0.496,0.500,0.000,0.068,1.998,-0.008,7.0
1288,0.496,0.500,0.000,0.068,1.998,-0.008,7.0
1289,0.496,0.500,0.000,0.068,1.998,-0.008,7.0
1290,0.496,0.500,0.000,0.068,1.998,-0.008,7.0
1291,0.496,0.500,0.000,0.068,1.998,-0.008,7.0
1292,0.496,0.500,0.000,0.068,1.998,-0.008,7.0
1293,0.496,0.500,0.000,0.068,1.998,-0.008,7.0
1294,0.496,0.500,0.000,0.067,1.998,-0.008,7.0
1295,0.496,0.500,0.000,0.067,1.998,-0.008,7.0
1296,0.496,0.500,0.000,0.067,1.998,-0.008,7.0
1297,0.496,0.500,0.000,0.067,1.998,-0.008,7.0
1298,0.496,0.500,0.000,0.067,1.998,-0.008,7.0
1299,0.496,0.500,0.000,0.067,1.998,-0.008,7.0
1300,0.496,0.500,0.000,0.067,1.998,-0.008,7.0
1301,0.496,0.500,0.000,0.067,1.998,-0.008,7.0
1302,0.496,0.500,0.000,0.067,1.998,-0.008,7.0
1303,0.496,0.500,0.000,0.067,1.998,-0.008,7.0
1304,0.496,0.500,0.000,0.067,1.998,-0.008,7.0
1305,0.496,0.500,0.000,0.067,1.998,-0.008,7.0
1306,0.496,0.500,0.000,0.067,1.998,-0.008,7.0
1307,0.496,0.500,0.000,0.067,1.998,-0.008,7.0
1308,0.496,0.500,0.000,0.066,1.998,-0.008,7.0
1309,0.496,0.500,0.000,0.066,1.998,-0.008,7.0
1310,0.496,0.500,0.000,0.066,1.998,-0.008,7.0
1311,0.496,0.500,0.000,0.066,1.998,-0.008,7.0
1312,0.496,0.500,0.000,0.066,1.998,-0.008,7.0
1313,0.496,0.500,0.000,0.066,1.998,-0.008,7.0
1314,0.496,0.500,0.000,0.066,1.998,-0.008,7.0
1315,0.496,0.500,0.000,0.066,1.998,-0.008,7.0
1316,0.496,0.500,0.000,0.066,1.998,-0.008,7.0
1317,0.496,0.500,0.000,0.066,1.998,-0.008,7.0
1318,0.496,0.500,0.000,0.066,1.998,-0.008,7.0
1319,0.496,0.500,0.000,0.066,1.998,-0.008,7.0
1320,0.496,0.500,0.000,0.066,1.998,-0.008,7.0
1321,0.496,0.500,0.000,0.066,1.998,-0.008,7.0
1322,0.496,0.500,0.000,0.065,1.998,-0.008,7.0
1323,0.496,0.500,0.000,0.065,1.998,-0.008,7.0
1324,0.496,0.500,0.000,0.065,1.998,-0.008,7.0
1325,0.496,0.500,0.000,0.065,1.998,-0.008,7.0
1326,0.496,0.500,0.000,0.065,1.998,-0.008,7.0
1327,0.496,0.500,0.000,0.065,1.998,-0.008,7.0
1328,0.496,0.500,0.000,0.065,1.998,-0.008,7.0
1329,0.496,0.500,0.000,0.065,1.998,-0.008,7.0
1330,0.496,0.500,0.000,0.065,1.998,-0.008,7.0
1331,0.496,0.500,0.000,0.065,1.998,-0.008,7.0
1332,0.496,0.500,0.000,0.065,1.998,-0.008,7.0
1333,0.496,0.500,0.000,0.065,1.998,-0.008,7.0
1334,0.496,0.500,0.000,0.065,1.998,-0.008,7.0
1335,0.496,0.500,0.000,0.065,1.998,-0.008,7.0
1336,0.496,0.500,0.000,0.065,1.998,-0.008,7.0
1337,0.496,0.500,0.000,0.064,1.998,-0.008,7.0
1338,0.496,0.500,0.000,0.064,1.998,-0.008,7.0
1339,0.496,0.500,0.000,0.064,1.998,-0.008,7.0
1340,0.496,0.500,0.000,0.064,1.998,-0.008,7.0
1341,0.496,0.500,0.000,0.064,1.998,-0.008,7.0
1342,0.496,0.500,0.000,0.064,1.998,-0.008,7.0
1343,0.496,0.500,0.000,0.064,1.998,-0.008,7.0
1344,0.496,0.500,0.000,0.064,1.998,-0.008,7.0
1345,0.496,0.500,0.000,0.064,1.998,-0.008,7.0
1346,0.496,0.500,0.000,0.064,1.998,-0.008,7.0
1347,0.496,0.500,0.000,0.064,1.998,-0.008,7.0
1348,0.496,0.500,0.000,0.064,1.998,-0.008,7.0
1349,0.496,0.500,0.000,0.064,1.998,-0.008,7.0
1350,0.496,0.500,0.000,0.064,1.998,-0.008,7.0
1351,0.496,0.500,0.000,0.063,1.998,-0.008,7.0
1352,0.496,0.500,0.000,0.063,1.998,-0.008,7.0
1353,0.496,0.500,0.000,0.063,1.998,-0.008,7.0
1354,0.496,0.500,0.000,0.063,1.998,-0.008,7.0
1355,0.496,0.500,0.000,0.063,1.998,-0.008,7.0
1356,0.496,0.500,0.000,0.063,1.998,-0.008,7.0
1357,0.496,0.500,0.000,0.063,1.998,-0.008,7.0
1358,0.496,0.500,0.000,0.063,1.998,-0.008,7.0
1359,0.496,0.500,0.000,0.063,1.998,-0.008,7.0
1360,0.496,0.500,0.000,0.063,1.998,-0.008,7.0
1361,0.496,0.500,0.000,0.063,1.998,-0.008,7.0
1362,0.496,0.500,0.000,0.063,1.998,-0.008,7.0
1363,0.496,0.500,0.000,0.063,1.998,-0.008,7.0
1364,0.496,0.500,0.000,0.063,1.998,-0.008,7.0
1365,0.496,0.500,0.000,0.063,1.998,-0.008,7.0
1366,0.496,0.500,0.000,0.062,1.998,-0.008,7.0
1367,0.496,0.500,0.000,0.062,1.998,-0.008,7.0
1368,0.496,0.500,0.000,0.062,1.998,-0.008,7.0
1369,0.496,0.500,0.000,0.062,1.998,-0.008,7.0
1370,0.496,0.500,0.000,0.062,1.998,-0.008,7.0
1371,0.496,0.500,0.000,0.062,1.998,-0.008,7.0
1372,0.496,0.500,0.000,0.062,1.998,-0.008,7.0
1373,0.496,0.500,0.000,0.062,1.998,-0.008,7.0
1374,0.496,0.500,0.000,0.062,1.998,-0.008,7.0
1375,0.496,0.500,0.000,0.062,1.998,-0.008,7.0
1376,0.496,0.500,0.000,0.062,1.998,-0.008,7.0
1377,0.496,0.500,0.000,0.062,1.998,-0.008,7.0
1378,0.496,0.500,0.000,0.062,1.998,-0.008,7.0
1379,0.496,0.500,0.000,0.062,1.998,-0.008,7.0
1380,0.496,0.500,0.000,0.061,1.998,-0.008,7.0
1381,0.496,0.500,0.000,0.061,1.998,-0.008,7.0
1382,0.496,0.500,0.000,0.061,1.998,-0.008,7.0
1383,0.496,0.500,0.000,0.061,1.998,-0.008,7.0
1384,0.496,0.500,0.000,0.061,1.998,-0.008,7.0
1385,0.496,0.500,0.000,0.061,1.998,-0.008,7.0
1386,0.496,0.500,0.000,0.061,1.998,-0.008,7.0
1387,0.496,0.500,0.000,0.061,1.998,-0.008,7.0
1388,0.496,0.500,0.000,0.061,1.998,-0.008,7.0
1389,0.496,0.500,0.000,0.061,1.998,-0.008,7.0
1390,0.496,0.500,0.000,0.061,1.998,-0.008,7.0
1391,0.496,0.500,0.000,0.061,1.998,-0.008,7.0
1392,0.496,0.500,0.000,0.061,1.998,-0.008,7.0
1393,0.496,0.500,0.000,0.061,1.998,-0.008,7.0
1394,0.496,0.500,0.000,0.061,1.998,-0.008,7.0
1395,0.496,0.500,0.000,0.060,1.998,-0.008,7.0
1396,0.496,0.500,0.000,0.060,1.998,-0.008,7.0
1397,0.496,0.500,0.000,0.060,1.998,-0.008,7.0
1398,0.496,0.500,0.000,0.060,1.998,-0.008,7.0
1399,0.496,0.500,0.000,0.060,1.998,-0.008,7.0
1400,0.496,0.500,0.000,0.060,1.998,-0.008,7.0
1401,0.496,0.500,0.000,0.060,1.998,-0.008,7.0
1402,0.496,0.500,0.000,0.060,1.998,-0.008,7.0
1403,0.496,0.500,0.000,0.060,1.998,-0.008,7.0
1404,0.496,0.500,0.000,0.060,1.998,-0.008,7.0
1405,0.496,0.500,0.000,0.060,1.998,-0.008,7.0
1406,0.496,0.500,0.000,0.060,1.998,-0.008,7.0
1407,0.496,0.500,0.000,0.060,1.998,-0.008,7.0
1408,0.496,0.500,0.000,0.060,1.998,-0.008,7.0
1409,0.496,0.500,0.000,0.059,1.998,-0.008,7.0
1410,0.496,0.500,0.000,0.059,1.998,-0.008,7.0
1411,0.496,0.500,0.000,0.059,1.998,-0.008,7.0
1412,0.496,0.500,0.000,0.059,1.998,-0.008,7.0
1413,0.496,0.500,0.000,0.059,1.998,-0.008,7.0
1414,0.496,0.500,0.000,0.059,1.998,-0.008,7.0
1415,0.496,0.500,0.000,0.059,1.998,-0.008,7.0
1416,0.496,0.500,0.000,0.059,1.998,-0.008,7.0
1417,0.496,0.500,0.000,0.059,1.998,-0.008,7.0
1418,0.496,0.500,0.000,0.059,1.998,-0.008,7.0
1419,0.496,0.500,0.000,0.059,1.998,-0.008,7.0
1420,0.496,0.500,0.000,0.059,1.998,-0.008,7.0
1421,0.496,0.500,0.000,0.059,1.998,-0.008,7.0
1422,0.496,0.500,0.000,0.059,1.998,-0.008,7.0
1423,0.496,0.500,0.000,0.059,1.998,-0.008,7.0
1424,0.496,0.500,0.000,0.058,1.998,-0.008,7.0
1425,0.496,0.500,0.000,0.058,1.998,-0.008,7.0
1426,0.496,0.500,0.000,0.058,1.998,-0.008,7.0
1427,0.496,0.500,0.000,0.058,1.998,-0.008,7.0
1428,0.496,0.500,0.000,0.058,1.998,-0.008,7.0
1429,0.496,0.500,0.000,0.058,1.998,-0.008,7.0
1430,0.496,0.500,0.000,0.058,1.998,-0.008,7.0
1431,0.496,0.500,0.000,0.058,1.998,-0.008,7.0
1432,0.496,0.500,0.000,0.058,1.998,-0.008,7.0
1433,0.496,0.500,0.000,0.058,1.998,-0.008,7.0
1434,0.496,0.500,0.000,0.058,1.998,-0.008,7.0
1435,0.496,0.500,0.000,0.058,1.998,-0.008,7.0
1436,0.496,0.500,0.000,0.058,1.998,-0.008,7.0
1437,0.496,0.500,0.000,0.058,1.998,-0.008,7.0
1438,0.496,0.500,0.000,0.057,1.998,-0.008,7.0
1439,0.496,0.500,0.000,0.057,1.998,-0.008,7.0
1440,0.496,0.500,0.000,0.057,1.998,-0.008,7.0
1441,0.496,0.500,0.000,0.057,1.998,-0.008,7.0
1442,0.496,0.500,0.000,0.057,1.998,-0.008,7.0
1443,0.496,0.500,0.000,0.057,1.998,-0.008,7.0
1444,0.496,0.500,0.000,0.057,1.998,-0.008,7.0
1445,0.496,0.500,0.000,0.057,1.998,-0.008,7.0
1446,0.496,0.500,0.000,0.057,1.998,-0.008,7.0
1447,0.496,0.500,0.000,0.057,1.998,-0.008,7.0
1448,0.496,0.500,0.000,0.057,1.998,-0.008,7.0
1449,0.496,0.500,0.000,0.057,1.998,-0.008,7.0
1450,0.496,0.500,0.000,0.057,1.998,-0.008,7.0
1451,0.496,0.500,0.000,0.057,1.998,-0.008,7.0
1452,0.496,0.500,0.000,0.057,1.998,-0.008,7.0
1453,0.496,0.500,0.000,0.056,1.998,-0.008,7.0
1454,0.496,0.500,0.000,0.056,1.998,-0.008,7.0
1455,0.496,0.500,0.000,0.056,1.998,-0.008,7.0
1456,0.496,0.500,0.000,0.056,1.998,-0.008,7.0
1457,0.496,0.500,0.000,0.056,1.998,-0.008,7.0
1458,0.496,0.500,0.000,0.056,1.998,-0.008,7.0
1459,0.496,0.500,0.000,0.056,1.998,-0.008,7.0
1460,0.496,0.500,0.000,0.056,1.998,-0.008,7.0
1461,0.496,0.500,0.000,0.056,1.998,-0.008,7.0
1462,0.496,0.500,0.000,0.056,1.998,-0.008,7.0
1463,0.496,0.500,0.000,0.056,1.998,-0.008,7.0
1464,0.496,0.500,0.000,0.056,1.998,-0.008,7.0
1465,0.496,0.500,0.000,0.056,1.998,-0.008,7.0
1466,0.496,0.500,0.000,0.056,1.998,-0.008,7.0
1467,0.496,0.500,0.000,0.056,1.998,-0.008,7.0
1468,0.496,0.500,0.000,0.055,1.998,-0.008,7.0
1469,0.496,0.500,0.000,0.055,1.998,-0.008,7.0
1470,0.496,0.500,0.000,0.055,1.998,-0.008,7.0
1471,0.496,0.500,0.000,0.055,1.998,-0.008,7.0
1472,0.496,0.500,0.000,0.055,1.998,-0.008,7.0
1473,0.496,0.500,0.000,0.055,1.998,-0.008,7.0
1474,0.496,0.500,0.000,0.055,1.998,-0.008,7.0
1475,0.496,0.500,0.000,0.055,1.998,-0.008,7.0
1476,0.496,0.500,0.000,0.055,1.998,-0.008,7.0
1477,0.496,0.500,0.000,0.055,1.998,-0.008,7.0
1478,0.496,0.500,0.000,0.055,1.998,-0.007,7.0
1479,0.496,0.500,0.000,0.055,1.998,-0.007,7.0
1480,0.496,0.500,0.000,0.055,1.998,-0.007,7.0
1481,0.496,0.500,0.000,0.055,1.998,-0.007,7.0
1482,0.496,0.500,0.000,0.054,1.998,-0.007,7.0
1483,0.496,0.500,0.000,0.054,1.998,-0.007,7.0
1484,0.496,0.500,0.000,0.054,1.998,-0.007,7.0
1485,0.496,0.500,0.000,0.054,1.998,-0.007,7.0
1486,0.496,0.500,0.000,0.054,1.998,-0.007,7.0
1487,0.496,0.500,0.000,0.054,1.998,-0.007,7.0
1488,0.496,0.500,0.000,0.054,1.998,-0.007,7.0
1489,0.496,0.500,0.000,0.054,1.998,-0.007,7.0
1490,0.496,0.500,0.000,0.054,1.998,-0.007,7.0
1491,0.496,0.500,0.000,0.054,1.998,-0.007,7.0
1492,0.496,0.500,0.000,0.054,1.998,-0.007,7.0
1493,0.496,0.500,0.000,0.054,1.998,-0.007,7.0
1494,0.496,0.500,0.000,0.054,1.998,-0.007,7.0
1495,0.496,0.500,0.000,0.054,1.998,-0.007,7.0
1496,0.496,0.500,0.000,0.054,1.998,-0.007,7.0
1497,0.496,0.500,0.000,0.053,1.998,-0.007,7.0
1498,0.496,0.500,0.000,0.053,1.998,-0.007,7.0
1499,0.496,0.500,0.000,0.053,1.998,-0.007,7.0
1500,0.496,0.500,0.000,0.053,1.998,-0.007,7.0
1501,0.496,0.500,0.000,0.053,1.998,-0.007,7.0
1502,0.496,0.500,0.000,0.053,1.998,-0.007,7.0
1503,0.496,0.500,0.000,0.053,1.998,-0.007,7.0
1504,0.496,0.500,0.000,0.053,1.998,-0.007,7.0
1505,0.496,0.500,0.000,0.053,1.998,-0.007,7.0
1506,0.496,0.500,0.000,0.053,1.998,-0.007,7.0
1507,0.496,0.500,0.000,0.053,1.998,-0.007,7.0
1508,0.496,0.500,0.000,0.053,1.998,-0.007,7.0
1509,0.496,0.500,0.000,0.053,1.998,-0.007,7.0
1510,0.496,0.500,0.000,0.053,1.998,-0.007,7.0
1511,0.496,0.500,0.000,0.053,1.998,-0.007,7.0
1512,0.496,0.500,0.000,0.052,1.998,-0.007,7.0
1513,0.496,0.500,0.000,0.052,1.998,-0.007,7.0
1514,0.496,0.500,0.000,0.052,1.998,-0.007,7.0
1515,0.496,0.500,0.000,0.052,1.998,-0.007,7.0
1516,0.496,0.500,0.000,0.052,1.998,-0.007,7.0
1517,0.496,0.500,0.000,0.052,1.998,-0.007,7.0
1518,0.496,0.500,0.000,0.052,1.998,-0.007,7.0
1519,0.496,0.500,0.000,0.052,1.998,-0.007,7.0
1520,0.496,0.500,0.000,0.052,1.998,-0.007,7.0
1521,0.496,0.500,0.000,0.052,1.998,-0.007,7.0
1522,0.496,0.500,0.000,0.052,1.998,-0.007,7.0
1523,0.496,0.500,0.000,0.052,1.998,-0.007,7.0
1524,0.496,0.500,0.000,0.052,1.998,-0.007,7.0
1525,0.496,0.500,0.000,0.052,1.998,-0.007,7.0
1526,0.496,0.500,0.000,0.051,1.998,-0.007,7.0
1527,0.496,0.500,0.000,0.051,1.998,-0.007,7.0
1528,0.496,0.500,0.000,0.051,1.998,-0.007,7.0
1529,0.496,0.500,0.000,0.051,1.998,-0.007,7.0
1530,0.496,0.500,0.000,0.051,1.998,-0.007,7.0
1531,0.496,0.500,0.000,0.051,1.998,-0.007,7.0
1532,0.496,0.500,0.000,0.051,1.998,-0.007,7.0
1533,0.496,0.500,0.000,0.051,1.998,-0.007,7.0
1534,0.496,0.500,0.000,0.051,1.998,-0.007,7.0
1535,0.496,0.500,0.000,0.051,1.998,-0.007,7.0
1536,0.496,0.500,0.000,0.051,1.998,-0.007,7.0
1537,0.496,0.500,0.000,0.051,1.998,-0.007,7.0
1538,0.496,0.500,0.000,0.051,1.998,-0.007,7.0
1539,0.496,0.500,0.000,0.051,1.998,-0.007,7.0
1540,0.496,0.500,0.000,0.051,1.998,-0.007,7.0
1541,0.496,0.500,0.000,0.050,1.998,-0.007,7.0
1542,0.496,0.500,0.000,0.050,1.998,-0.007,7.0
1543,0.496,0.500,0.000,0.050,1.998,-0.007,7.0
1544,0.496,0.500,0.000,0.050,1.998,-0.007,7.0
1545,0.496,0.500,0.000,0.050,1.998,-0.007,7.0
1546,0.496,0.500,0.000,0.050,1.998,-0.007,7.0
1547,0.496,0.500,0.000,0.050,1.998,-0.007,7.0
1548,0.496,0.500,0.000,0.050,1.998,-0.007,7.0
1549,0.496,0.500,0.000,0.050,1.998,-0.007,7.0
1550,0.496,0.500,0.000,0.050,1.998,-0.007,7.0
1551,0.496,0.500,0.000,0.050,1.998,-0.007,7.0
1552,0.496,0.500,0.000,0.050,1.998,-0.007,7.0
1553,0.496,0.500,0.000,0.050,1.998,-0.007,7.0
1554,0.496,0.500,0.000,0.050,1.998,-0.007,7.0
1555,0.496,0.500,0.000,0.050,1.998,-0.007,7.0
1556,0.496,0.500,0.000,0.049,1.998,-0.007,7.0
1557,0.496,0.500,0.000,0.049,1.998,-0.007,7.0
1558,0.496,0.500,0.000,0.049,1.998,-0.007,7.0
1559,0.496,0.500,0.000,0.049,1.998,-0.007,7.0
1560,0.496,0.500,0.000,0.049,1.998,-0.007,7.0
1561,0.496,0.500,0.000,0.049,1.998,-0.007,7.0
1562,0.496,0.500,0.000,0.049,1.998,-0.007,7.0
1563,0.496,0.500,0.000,0.049,1.998,-0.007,7.0
1564,0.496,0.500,0.000,0.049,1.998,-0.007,7.0
1565,0.496,0.500,0.000,0.049,1.998,-0.007,7.0
1566,0.496,0.500,0.000,0.049,1.998,-0.007,7.0
1567,0.496,0.500,0.000,0.049,1.998,-0.007,7.0
1568,0.496,0.500,0.000,0.049,1.998,-0.007,7.0
1569,0.496,0.500,0.000,0.049,1.998,-0.007,7.0
1570,0.496,0.500,0.000,0.049,1.998,-0.007,7.0
1571,0.496,0.500,0.000,0.048,1.998,-0.007,7.0
1572,0.496,0.500,0.000,0.048,1.998,-0.007,7.0
1573,0.496,0.500,0.000,0.048,1.998,-0.007,7.0
1574,0.496,0.500,0.000,0.048,1.998,-0.007,7.0
1575,0.496,0.500,0.000,0.048,1.998,-0.007,7.0
1576,0.496,0.500,0.000,0.048,1.998,-0.007,7.0
