1,0.364,-0.106,0.000,-41.996,0.005,-0.005,-1
2084,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2085,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2086,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2087,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2088,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2089,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2090,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2091,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2092,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2093,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2094,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2095,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2096,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2097,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2098,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2099,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2100,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2101,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2102,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2103,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2104,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2105,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2106,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2107,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2108,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2109,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2110,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2111,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2112,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2113,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2114,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2115,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2116,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2117,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2118,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2119,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2120,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2121,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2122,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2123,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2124,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2125,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2126,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2127,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2128,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2129,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2130,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2131,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2132,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2133,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2134,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2135,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2136,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2137,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2138,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2139,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2140,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2141,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2142,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2143,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2144,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2145,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2146,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2147,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2148,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2149,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2150,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2151,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2152,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2153,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2154,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2155,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2156,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2157,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2158,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2159,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2160,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2161,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2162,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2163,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2164,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2165,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2166,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2167,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2168,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2169,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2170,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2171,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2172,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2173,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2174,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2175,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2176,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2177,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2178,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2179,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2180,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2181,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2182,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2183,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2184,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2185,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2186,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2187,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2188,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2189,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2190,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2191,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2192,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2193,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2194,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2195,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2196,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2197,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2198,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2199,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2200,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2201,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2202,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2203,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2204,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2205,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2206,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2207,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2208,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2209,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2210,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2211,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2212,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2213,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2214,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2215,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2216,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2217,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2218,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2219,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2220,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2221,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2222,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2223,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2224,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2225,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2226,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2227,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2228,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2229,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2230,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2231,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2232,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2233,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2234,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2235,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2236,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2237,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2238,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2239,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2240,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2241,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2242,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2243,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2244,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2245,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2246,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2247,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2248,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2249,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2250,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2251,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2252,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2253,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2254,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2255,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2256,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2257,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2258,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2259,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2260,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2261,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2262,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2263,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2264,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2265,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2266,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2267,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2268,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2269,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2270,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2271,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2272,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2273,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2274,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2275,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2276,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2277,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2278,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2279,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2280,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2281,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2282,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2283,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2284,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2285,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2286,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2287,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2288,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2289,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2290,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2291,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2292,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2293,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2294,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2295,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2296,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2297,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2298,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2299,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2300,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2301,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2302,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2303,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2304,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2305,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2306,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2307,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2308,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2309,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2310,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2311,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2312,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2313,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2314,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2315,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2316,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2317,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2318,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2319,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2320,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2321,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2322,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2323,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2324,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2325,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2326,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2327,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2328,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2329,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2330,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2331,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2332,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2333,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2334,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2335,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2336,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2337,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2338,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2339,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2340,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2341,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2342,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2343,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2344,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2345,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2346,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2347,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2348,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2349,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2350,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2351,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2352,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2353,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2354,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2355,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2356,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2357,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2358,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2359,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2360,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2361,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2362,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2363,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2364,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2365,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2366,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2367,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2368,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2369,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2370,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2371,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2372,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2373,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2374,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2375,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2376,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2377,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2378,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2379,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2380,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2381,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2382,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2383,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2384,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2385,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2386,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2387,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2388,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2389,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2390,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2391,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2392,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2393,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2394,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2395,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2396,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2397,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2398,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2399,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2400,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2401,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2402,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2403,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2404,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2405,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2406,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2407,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2408,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2409,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2410,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2411,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2412,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2413,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2414,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2415,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2416,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2417,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2418,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2419,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2420,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2421,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2422,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2423,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2424,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2425,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2426,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2427,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2428,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2429,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2430,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2431,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2432,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2433,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2434,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2435,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2436,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2437,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2438,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2439,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2440,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2441,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2442,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2443,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2444,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2445,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2446,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2447,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2448,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2449,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2450,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2451,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2452,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2453,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2454,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2455,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2456,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2457,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2458,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2459,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2460,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2461,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2462,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2463,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2464,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2465,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2466,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2467,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2468,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2469,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2470,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2471,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2472,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2473,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2474,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2475,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2476,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2477,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2478,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2479,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2480,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2481,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2482,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2483,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2484,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2485,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2486,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2487,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2488,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2489,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2490,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2491,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2492,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2493,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2494,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2495,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2496,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2497,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2498,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2499,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
2500,0.470,0.223,0.000,-61.361,0.963,1.751,7.0
